overall_score,final_grade
40.4,e
57.8,d
26.3,f
89.6,b
75.1,c
32.3,f
63.2,d
43.8,e
71.3,c
45.2,e
33.7,f
54.0,e
90.4,b
60.8,d
83.2,c
80.6,c
64.9,d
61.8,d
64.2,d
92.9,b
100.0,a
80.2,c
30.9,f
47.1,e
64.0,d
97.9,a
59.8,d
56.7,d
63.7,d
56.6,d
100.0,a
43.3,e
81.8,c
67.6,d
94.8,b
45.0,e
81.4,c
80.9,c
56.2,d
39.5,f
85.2,b
31.9,f
98.0,a
77.4,c
62.4,d
43.7,e
37.1,f
49.5,e
90.0,b
71.5,c
57.1,d
50.8,e
49.3,e
40.6,e
45.7,e
72.1,c
58.7,d
74.7,c
26.8,f
25.3,f
47.9,e
84.6,c
40.1,e
67.5,d
57.8,d
94.6,b
78.8,c
65.7,d
46.2,e
60.2,d
59.0,d
46.9,e
79.6,c
88.7,b
59.2,d
61.9,d
78.1,c
71.7,c
93.3,b
84.7,c
66.8,d
67.5,d
76.3,c
49.6,e
100.0,a
72.3,c
73.9,c
86.7,b
34.2,f
78.3,c
50.1,e
65.5,d
100.0,a
41.5,e
45.4,e
89.2,b
86.7,b
96.7,a
38.1,f
54.8,e
64.4,d
59.1,d
44.9,e
92.8,b
44.7,e
82.7,c
100.0,a
35.5,f
78.4,c
45.5,e
75.0,c
81.6,c
38.1,f
60.2,d
65.0,d
54.3,e
46.6,e
22.7,f
61.3,d
69.9,d
49.6,e
61.1,d
64.9,d
72.8,c
82.7,c
100.0,a
67.0,d
76.6,c
50.6,e
46.3,e
95.2,a
65.7,d
57.1,d
60.6,d
36.2,f
100.0,a
72.3,c
53.1,e
96.6,a
65.1,d
68.6,d
68.3,d
61.0,d
76.6,c
73.5,c
48.6,e
89.0,b
61.6,d
100.0,a
76.8,c
69.9,d
79.3,c
54.0,e
73.3,c
67.0,d
25.5,f
84.1,c
76.1,c
66.2,d
78.8,c
46.6,e
93.9,b
71.1,c
31.4,f
35.6,f
81.2,c
64.1,d
59.0,d
60.4,d
90.8,b
74.9,c
44.1,e
29.4,f
85.7,b
100.0,a
64.2,d
49.6,e
31.9,f
75.1,c
88.6,b
53.0,e
100.0,a
72.1,c
71.6,c
33.6,f
93.3,b
83.8,c
74.7,c
50.5,e
40.0,e
42.2,e
74.2,c
61.4,d
63.7,d
53.0,e
49.3,e
79.9,c
59.1,d
54.1,e
72.1,c
91.5,b
81.0,c
64.7,d
36.1,f
76.9,c
65.1,d
77.5,c
34.4,f
31.4,f
76.8,c
60.2,d
58.6,d
63.4,d
84.9,c
58.2,d
97.9,a
84.8,c
59.5,d
80.4,c
85.7,b
55.4,d
61.2,d
87.0,b
44.3,e
28.4,f
72.2,c
82.8,c
70.9,c
46.1,e
100.0,a
26.6,f
62.2,d
38.9,f
66.9,d
35.4,f
78.8,c
80.8,c
72.6,c
61.6,d
27.9,f
62.4,d
45.9,e
37.9,f
68.6,d
56.8,d
100.0,a
66.3,d
44.2,e
100.0,a
70.7,c
58.2,d
40.2,e
80.3,c
66.5,d
89.4,b
25.8,f
75.9,c
65.4,d
27.5,f
100.0,a
50.7,e
81.4,c
69.0,d
82.2,c
65.3,d
86.8,b
72.3,c
83.1,c
46.4,e
67.9,d
61.9,d
54.0,e
86.8,b
93.0,b
55.4,d
59.9,d
81.9,c
55.7,d
85.8,b
54.5,e
52.7,e
